Guaranty Trust Bank Plc
Customer Statement
Account Name,TIMI ADE
Period,01-Sept-2026 to 25-Sept-2026

Trans. Date,Value Date,Reference,Narration,Debit,Credit,Balance
01-Sept-2026,01-Sept-2026,,OPENING BALANCE,,,"212,450.30"
01-Sept-2026,01-Sept-2026,FT20260900000,"SALARY SEP ACME TECHNOLOGIES LTD",,"450,000.00","662,450.30"
02-Sept-2026,02-Sept-2026,FT20260900001,"IKEDC PREPAID TOKEN 04513320","25,000.00",,"637,450.30"
03-Sept-2026,03-Sept-2026,FT20260900002,"POS PURCHASE @ FITNESS HUB LEKKI","15,000.00",,"622,450.30"
04-Sept-2026,04-Sept-2026,FT20260900003,"WEB PURCHASE CHOWDECK TECHNOLOGIES LAGOS","7,800.00",,"614,650.30"
05-Sept-2026,05-Sept-2026,FT20260900004,"NIP TRF TO TIMI ADE KUDA MFB SAVINGS","100,000.00",,"514,650.30"
05-Sept-2026,05-Sept-2026,FT20260900005,"NIP CHARGE + VAT","53.75",,"514,596.55"
06-Sept-2026,06-Sept-2026,FT20260900006,"WEB PURCHASE CHOWDECK TECHNOLOGIES LAGOS","6,400.00",,"508,196.55"
07-Sept-2026,07-Sept-2026,FT20260900007,"POS PURCHASE @ SHOPRITE LEKKI","38,500.00",,"469,696.55"
08-Sept-2026,08-Sept-2026,FT20260900008,"WEB PURCHASE CHOWDECK TECHNOLOGIES LAGOS","9,100.00",,"460,596.55"
09-Sept-2026,09-Sept-2026,FT20260900009,"BOLT.EU RIDE LAGOS","4,200.00",,"456,396.55"
11-Sept-2026,11-Sept-2026,FT20260900010,"WEB PURCHASE NETFLIX.COM","7,000.00",,"449,396.55"
11-Sept-2026,11-Sept-2026,FT20260900011,"SMS ALERT CHARGES","40.00",,"449,356.55"
12-Sept-2026,12-Sept-2026,FT20260900012,"WEB PURCHASE CHOWDECK TECHNOLOGIES LAGOS","5,300.00",,"444,056.55"
14-Sept-2026,14-Sept-2026,FT20260900013,"BOLT.EU RIDE LAGOS","3,900.00",,"440,156.55"
15-Sept-2026,15-Sept-2026,FT20260900014,"WEB PURCHASE CHOWDECK TECHNOLOGIES LAGOS","12,000.00",,"428,156.55"
17-Sept-2026,17-Sept-2026,FT20260900015,"MTN AIRTIME VTU 08031234567","5,000.00",,"423,156.55"
18-Sept-2026,18-Sept-2026,FT20260900016,"BOLT.EU RIDE LAGOS","5,600.00",,"417,556.55"
19-Sept-2026,19-Sept-2026,FT20260900017,"WEB PURCHASE CHOWDECK TECHNOLOGIES LAGOS","8,700.00",,"408,856.55"
21-Sept-2026,21-Sept-2026,FT20260900018,"MTN DATA BUNDLE 08031234567","10,000.00",,"398,856.55"
21-Sept-2026,21-Sept-2026,FT20260900019,"SMS ALERT CHARGES","40.00",,"398,816.55"
22-Sept-2026,22-Sept-2026,FT20260900020,"POS PURCHASE @ MAMA CASS RESTAURANT IKEJA","3,200.00",,"395,616.55"
23-Sept-2026,23-Sept-2026,FT20260900021,"DSTV COMPACT SUBSCRIPTION","19,000.00",,"376,616.55"
24-Sept-2026,24-Sept-2026,FT20260900022,"WEB PURCHASE CHOWDECK TECHNOLOGIES LAGOS","6,900.00",,"369,716.55"
